epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
0.0,1.5777549743652344,0.5,0.5664327485380116,0.5,0.4777882766343592
1.0,20.256572723388672,0.37,0.5487804878048781,0.37,0.3132798573975044
2.0,1.4678339958190918,0.87,0.90284178187404,0.8700000000000001,0.8681402749731302
3.0,7.2199788093566895,0.47,0.5556410256410256,0.4699999999999999,0.430998235998236
4.0,0.5049211978912354,0.9,0.9090686274509805,0.9,0.8981477981477981
5.0,0.6534645557403564,0.75,0.8296774193548387,0.75,0.7408208208208208
6.0,0.1245337650179863,0.98,0.9818181818181818,0.9800000000000001,0.9802197802197803
7.0,0.12220575660467148,0.94,0.9504761904761905,0.9400000000000001,0.9404210965186575
8.0,0.09748036414384842,0.97,0.9714285714285715,0.9700000000000001,0.9702313946216385
9.0,0.07463718205690384,0.98,0.9804761904761905,0.9800000000000001,0.9799937460913071
10.0,0.04827950894832611,0.99,0.9904761904761905,0.99,0.9899937460913071
11.0,0.028978072106838226,0.99,0.9904761904761905,0.99,0.9899937460913071
12.0,0.015380701050162315,1.0,1.0,1.0,1.0
13.0,0.02078425884246826,0.99,0.9904761904761905,0.99,0.9899937460913071
14.0,0.03138943761587143,0.99,0.9904761904761905,0.99,0.9899937460913071
15.0,0.023978115990757942,0.99,0.9904761904761905,0.99,0.9899937460913071
16.0,0.023959781974554062,0.99,0.9904761904761905,0.99,0.9899937460913071
17.0,0.027941320091485977,0.98,0.9818181818181818,0.9800000000000001,0.9799498746867169
18.0,0.019381962716579437,0.99,0.9904761904761905,0.99,0.9899937460913071
19.0,0.02494852803647518,0.99,0.9904761904761905,0.99,0.9899937460913071
20.0,0.0231417678296566,0.99,0.9904761904761905,0.99,0.9899937460913071
21.0,0.02498036064207554,0.99,0.9904761904761905,0.99,0.9899937460913071
22.0,0.024486741051077843,0.99,0.9904761904761905,0.99,0.9899937460913071
23.0,0.02357645332813263,0.99,0.9904761904761905,0.99,0.9899937460913071
24.0,0.01869630254805088,0.99,0.9904761904761905,0.99,0.9899937460913071
25.0,0.016995903104543686,1.0,1.0,1.0,1.0
26.0,0.014374619349837303,1.0,1.0,1.0,1.0
27.0,0.016933290287852287,0.99,0.9904761904761905,0.99,0.9899937460913071
28.0,0.01434030570089817,1.0,1.0,1.0,1.0
29.0,0.01843084953725338,0.99,0.9904761904761905,0.99,0.9899937460913071
30.0,0.014232899062335491,1.0,1.0,1.0,1.0
